itemName,itemDescrip,itemFile,descriptiveName
ak040,I daydream a great deal about things that other people consider impossible to achieve.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak041,I often have a strong urge to do outrageous things.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak042,I am the kind of person who falls in and out of love easily.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak043,I am usually in an upbeat or cheerful mood.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak044,Life is a feast which I enjoy to the fullest.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak045,"I like telling jokes, people tell me I'm humorous.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak046,I'm the kind of person who believes everything will eventually turn out all right.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak047,I have great confidence in myself.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak048,I often get many great ideas.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak049,I am always on the go.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak050,I can accomplish many tasks without even getting tired.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak051,"I have a gift for speech, convincing and inspiring to others.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak052,"I love to tackle new projects, even If risky.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak053,"Once I decide to accomplish something, nothing can stop me.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak054,I am totally comfortable even with people I hardly know.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak055,I love to be with a lot of people.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak056,People tell me that I often get my nose into others' business.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak057,"I am generous, and spend a lot of money on other people.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak058,I have abilities and expertise in many areas.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak059,I feel I have the right and privilege to do as I please.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak060,I am the kind of person who likes to be the boss.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak061,"When I disagree with someone, I can get into a heated argument.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak062,My sex drive is always high.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak063,Normally I can get by with less than 6 hours of sleep.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak064,I am a grouchy (irritable) person.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak065,I am by nature a dissatisfied person.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
pdq77,I complain a lot about my hardships.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
pdq70,I am critical of others.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak068,I often feel on edge.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak069,I often feel wound up.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak070,I am driven by an unpleasant restlessness that I don't understand.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak071,I often get so mad that I will just trash everything.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak072,"When crossed, I could get into a fight.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak073,People tell me I blow up out of nowhere.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak074,"When angry, I snap at people.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak075,"I like to tease people, even those I hardly know.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak076,My biting humor has gotten me into trouble.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak077,I can get so furious I could hurt someone.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak078,"I am so jealous of my spouse (or lover), that I cannot stand it.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak079,I am known to swear a lot.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak080,I have been told that I become violent with just a few drinks.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak081,I am a very skeptical person.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak082,I could be a revolutionary.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak083,My sex drive is often so intense that it is truly unpleasant.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak084,(Women only): I have attacks of uncontrollable rage right before my periods.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak085,I have been a worrier for as long as I can remember.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak086,I'm always worrying bout one thing or another.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak087,I keep on worrying about daily matters that others consider minor.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak088,I cannot help worrying.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak089,Many people have told me not to worry so much.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak090,"When stressed, my mind often goes blank.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak091,I am unable to relax.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak092,I often feel jittery inside.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak093,"When stressed, my hands often tremble.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak094,I often have an upset stomach.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak095,"When I'm nervous, I may have diarrhea.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak096,"When I'm nervous, I often feel nauseous.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak097,"When I'm nervous, I have to go to the bathroom more often.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak098,"When someone is late coming home, I fear they may have had an accident.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak099,I am often fearful of someone in my family coming down with a serious disease.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak100,I'm always thinking someone might break bad news to me about a family member.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak101,My sleep is not restful.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak102,I frequently have difficulty falling asleep.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak103,"I am, by nature, a very cautious person.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak104,I often wake up at night afraid that burglars are in the house.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak105,I easily get headaches when stressed.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak106,"When stressed, I get an uncomfortable feeling in my chest.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak107,I'm an insecure person.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak108,Even minor changes in routine stress me highly.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak109,"While driving, even when I haven't done anything wrong, I fear that police may stop me.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak110,Sudden noises startle me easily.,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
ak_overall,"Select the one item that describes you the best, overall for most of your life.",G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
collection_title,collection_title,G:\Package_1204973\txtDocs\akts01.txt,Akiskal Temperament Scale
collection_id,collection_id,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bac01_id,bac01_id,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
dataset_id,dataset_id,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
subjectkey,The NDAR Global Unique Identifier (GUID) for research subject,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
src_subject_id,Subject ID how it's defined in lab/project,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
interview_date,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
interview_age,Age in months at the time of the interview/test/sampling/imaging.,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
sex,Sex of subject at birth,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacs_dstotalscore,Total Digit Sequencing Score,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacs_sc_total,Symbol-Coding Total,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacs_tl_total,Tower of London: Total score,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
baseline_a_002,Interview Start Time:,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
stoptime,Stop time,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacvm1,Trial 1 Verbal Memory,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacvm2,Trial 2 Verbal Memory,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacvm3,Trial 3 Verbal Memory,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacvm4,Trial 4 Verbal Memory,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacvm5,Trial 5 Verbal Memory,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bactmts,Total Score Token Motor,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacflua,Animal Naming Fluency,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacfluf,Animal Naming Letter F,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
bacflus,Animal Naming Letter S,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
collection_title,collection_title,G:\Package_1204973\txtDocs\bac01.txt,Brief Assessment of Cognition
collection_id,collection_id,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis01_id,bis01_id,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
dataset_id,dataset_id,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
subjectkey,The NDAR Global Unique Identifier (GUID) for research subject,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
src_subject_id,Subject ID how it's defined in lab/project,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
interview_date,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
interview_age,Age in months at the time of the interview/test/sampling/imaging.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
sex,Sex of subject at birth,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis1,I/They plan tasks carefully.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis2,I/They do things without thinking.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis3,I/They make up my mind quickly.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis4,I/They am happy-go-lucky.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis5,"I/They don't ""pay attention.""",G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis6,"I/They have ""racing"" thoughts.",G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis7,I/They plan trips well ahead of time.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis8,I/They am self controlled.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis9,I/They concentrate easily.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis10,I/They save regularly.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis11,"I/They ""squirm"" at plays or lectures.",G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis12,I/They am a careful thinker.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis13,I/They  plan for job security.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis14,I/They say things without thinking.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis15,I/They like to think about complex problems.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis16,I/They change jobs.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis17,"I/They act ""on impulse.""",G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis18,I/They get easily bored when solving thought problems.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis19,I/They act on the spur of the moment.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis20,I/They am a steady thinker.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis21,I/They change residences./ I change where I live,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis22,I/They buy things on impulse.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis23,I/They can only think about one thing at a time.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis24,I/They change hobbies.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis25,I/They spend or charge more than I earn.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis26,I/They often have extraneous thoughts when thinking./ I have outside thoughts while thinking,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis27,I/They am more interested in the present than the future.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis28,I/They am restless at the theater or lectures./ I am restless at lectures or talks,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis29,I/They like puzzles.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis30,I/They am future oriented./ I plan for the future,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_total,BIS total score,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_f1,Factor 1. Attention,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_f2,Factor 2. Motor impulsiveness,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_f3,Factor 3. Self-control,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_f4,Factor 4. Cognitive complexity,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_f5,Factor 5. Perseverance,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_f6,Factor 6. Cognitive instability,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_fi,Factor I. Attentional Impulsiveness,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_fii,Factor II. Motor Impulsiveness,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
bis_fiii,Factor III. Non-planning Impulsiveness.,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
collection_title,collection_title,G:\Package_1204973\txtDocs\bis01.txt,Barratt Impulsivity Scale
collection_id,collection_id,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
demod01_id,demod01_id,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
dataset_id,dataset_id,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
subjectkey,The NDAR Global Unique Identifier (GUID) for research subject,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
src_subject_id,Subject ID how it's defined in lab/project,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
interview_date,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
interview_age,Age in months at the time of the interview/test/sampling/imaging.,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
sex,Sex of subject at birth,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
ethnicity,Ethnicity of participant,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
race,Race of study subject,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
das1ms,Marital status,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
collection_title,collection_title,G:\Package_1204973\txtDocs\demod01.txt,Demographics Data
collection_id,collection_id,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
fh01_id,fh01_id,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
dataset_id,dataset_id,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
subjectkey,The NDAR Global Unique Identifier (GUID) for research subject,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
src_subject_id,Subject ID how it's defined in lab/project,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
interview_date,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
interview_age,Age in months at the time of the interview/test/sampling/imaging.,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
sex,Sex of subject at birth,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
deprmom,difficulties depression mother,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
deprdad,difficulties depression father,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
suicmom,suicide mother,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
suicdad,suicide father,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
alcmom,alcohol mother,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
alcdad,alcohol father,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
fhx05b,Schizophrenia:Mother,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
fhx05c,Schizophrenia:Father,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
fhx06b,Bipolar Disorder: Mother,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
fhx06c,Bipolar Disorder: Father,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
total_relatives,"Total number of first-degree biological relatives, affected and unaffected, living and nonliving",G:\Package_1204973\txtDocs\fh01.txt,Family History Form
schiz_sib1,"Schizophrenia, sibling 1",G:\Package_1204973\txtDocs\fh01.txt,Family History Form
cfmh_chd_schizo,Does (did) the Participant have Schizophrenia?,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
scz_aun,Schizophrenia Aunt,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
scz_unc,Schizophrenia Uncle,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
scz_grp,Schizophrenia Grandparent,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
bipd_sib1,"Bipolar disorder (Manic/depression), sibling 1",G:\Package_1204973\txtDocs\fh01.txt,Family History Form
child_bipolar,Does (did) the Child have a Bipolar Disorder?,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
bip_has,Bipolar Disorder Half-Sibling,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
bip_aun,Bipolar Disorder Aunt,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
bip_unc,Bipolar Disorder Uncle,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
bip_nie,Bipolar Disorder Niece,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
bip_nep,Bipolar Disorder Nephew,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
bip_grp,Bipolar Disorder Grandparent,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
dep_sib,Depressive Sibling,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
dep_chi,Depressive Child,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
dep_has,Depressive Half-Sibling,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
dep_aun,Depressive Aunt,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
dep_unc,Depressive Uncle,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
dep_nie,Depressive Niece,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
dep_grp,Depressive Grandparent,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
sui_chi,"Suicide, Suicide Attempt Child",G:\Package_1204973\txtDocs\fh01.txt,Family History Form
sui_aun,"Suicide, Suicide Attempt Aunt",G:\Package_1204973\txtDocs\fh01.txt,Family History Form
sui_unc,"Suicide, Suicide Attempt Uncle",G:\Package_1204973\txtDocs\fh01.txt,Family History Form
sui_grp,"Suicide, Suicide Attempt Grandparent",G:\Package_1204973\txtDocs\fh01.txt,Family History Form
alc_sib,Alcoholism Sibling,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
alc_chi,Alcoholism Child,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
alc_has,Alcoholism Half-Sibling,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
alc_aun,Alcoholism Aunt,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
alc_unc,Alcoholism Uncle,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
alc_nep,Alcoholism Nephew,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
alc_grp,Alcoholism Grandparent,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
sud_mot,Substance use disorder Mother,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
sud_fat,Substance use disorder Father,G:\Package_1204973\txtDocs\fh01.txt,Family History Form
